Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content
,Playstation.com,Ray McCaffrey,Five Nights at Freddy’s: Help Wanted 2 seeks new employees December 14,"I’m Ray McCaffrey, executive producer from Steel Wool Studios, and I speak for our entire time when I say that we’re thrilled to finally give y’all a sneak preview of what you’ll be able to expect in Five Nights at Freddy’s: Help Wanted 2. We will cover the o…",https://blog.playstation.com/2023/11/20/five-nights-at-freddys-help-wanted-2-seeks-new-employees-december-14/,https://blog.playstation.com/tachyon/2023/11/3bcd26b84374a1adf141455184b9bb663735bba5.jpg,2023-11-20T18:01:37Z,"Im Ray McCaffrey, executive producer from Steel Wool Studios, and I speak for our entire time when I say that were thrilled to finally give yall a sneak preview of what youll be able to expect in Fiv… [+3928 chars]"
,/FILM,staff@slashfilm.com (Jacob Hall),How The Ballad Of Songbirds And Snakes Director Made A Vital Hunger Games Prequel [Exclusive Interview],"We sat down with director Francis Lawrence to talk about the intricacies of his new Hunger Games prequel, The Ballad of Songbirds and Snakes.",https://www.slashfilm.com/1449530/hunger-games-ballad-of-songbirds-and-snakes-director-francis-lawrence-interview/,https://www.slashfilm.com/img/gallery/how-the-ballad-of-songbirds-and-snakes-director-made-a-vital-hunger-games-prequel-exclusive-interview/l-intro-1700232610.jpg,2023-11-17T16:14:35Z,"So this is clearly Panem, but decades before the original movies. The reverse engineering of what this world looks like 70 years earlier fascinates me. Can you talk about the directives you and your … [+3978 chars]"
,Destructoid,Andrea Gonzalez,7 of the best RPG Maker horror games you should check out,"RPG Maker and indie horror games have an amazing symbiotic relationship. The engine is relatively cheap and easy to use, even for those who have little experience with coding games. It also has enough flexibility to let creators create wonderful 2D adventures…",https://www.destructoid.com/best-rpg-maker-horror-games/,https://www.destructoid.com/wp-content/uploads/2023/11/ib-steam-page-intro.jpg,2023-11-28T22:31:41Z,"RPG Maker and indie horror games have an amazing symbiotic relationship. The engine is relatively cheap and easy to use, even for those who have little experience with coding games. It also has enoug… [+6614 chars]"
,Gizmodo.com,Germain Lussier,"If There's a Thor 5, Taika Waititi Won't Be Part of It","In one of those rare cases where the rumor mills are actually accurate, director Taika Waititi confirmed that if Marvel Studios decides to make a fifth Thor movie, he won’t be involved. “I wouldn’t know if that’s [a Thor 5 happening] accurate,” Waititi said t…",https://gizmodo.com/thor-5-taika-waititi-chris-hemsworth-marvel-studios-mcu-1851020033,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/1b38864cf164c826de386ea4f40b7d19.jpg",2023-11-14T16:15:00Z,"In one of those rare cases where the rumor mills are actually accurate, director Taika Waititi confirmed that if Marvel Studios decides to make a fifth Thor movie, he wont be involved. I wouldnt know… [+2480 chars]"
,Gizmodo.com,James Whitbrook,"The Marvels Drama, Fallout TV Show Reveals, and More Top Pop Culture News of the Week","It’s been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at Fallout and Furiosa all made the list of our most read stori…",https://gizmodo.com/top-entertainment-news-fallout-doctor-who-marvel-alien-1851065738,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/7ad4a85d6aa22e76d0ba5d6e534a2e59.jpg",2023-12-02T15:00:00Z,"Its been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at F… [+3679 chars]"
,Digital Trends,Jason Struss,3 movies and TV shows like Saltburn you have to watch,"If you liked the new movie Saltburn with Jacob Elordi and Barry Keoghan, you should check out these three movies and TV shows that are just like it.",https://www.digitaltrends.com/movies/saltburn-similar-movies-you-have-to-watch/,https://www.digitaltrends.com/wp-content/uploads/2023/11/the-talented-mr-ripley-2.jpg?resize=1200%2C630&p=1,2023-11-25T19:00:38Z,"In the new movie Saltburn, a talented, but poor young man (The Banshees of Inisherin‘s Barry Keoghan) befriends a rich and charismatic fellow student (Priscilla‘s Jacob Elordi) and gets introduced to… [+4532 chars]"
,/FILM,staff@slashfilm.com (Ryan Scott),The Marvels Box Office Was Even Worse Than Expected – What The Heck Happened?,"The Marvels, the latest film in the ongoing Marvel Cinematic Universe, significantly stumbled in its opening weekend, marking the worst MCU opening ever.",https://www.slashfilm.com/1445357/the-marvels-box-office-worse-than-expected-what-happened/,https://www.slashfilm.com/img/gallery/the-marvels-box-office-was-even-worse-than-expected-what-the-heck-happened/l-intro-1699896175.jpg,2023-11-13T18:00:13Z,"It should have been a big weekend at the box office as ""The Marvels,"" the latest entry in the Marvel Cinematic Universe, arrived in theaters. This wasn't just any entry in the multi-billion-dollar fr… [+1493 chars]"
time,Time,Charlie Campbell,How Netflix Is Extending Its Tentacles Across Asia in Search of the Next Squid Game,"Now Netflix is also investing in films in markets like Thailand, Indonesia, and Taiwan in the firm belief that the next Squid Game could come from anywhere.",https://time.com/6339351/netflix-squid-game-asia-expansion/,https://api.time.com/wp-content/uploads/2023/11/netflix-asia-squid-game-1.jpg?quality=85,2023-11-24T06:00:00Z,"Theres no shortage of metrics to gauge the runaway success of Squid Game. The dystopian South Korean death-or-glory drama is Netflixs most-watched series of all time, clocking 1.65 billion viewing ho… [+8910 chars]"
,Biztoc.com,variety.com,"‘Napoleon’ Rules U.K., Ireland Box Office","Sony’s magnum opus “Napoleon,” directed by Ridley Scott, debuted atop the U.K. and Ireland box office with a regal £5.2 million ($6.6 million), according to numbers from Comscore. In its second weekend, Lionsgate’s “The Hunger Games: The Ballad Of Songbirds A…",https://biztoc.com/x/6455de2cead91236,https://c.biztoc.com/p/6455de2cead91236/s.webp,2023-11-28T12:54:08Z,"Sonys magnum opus Napoleon, directed by Ridley Scott, debuted atop the U.K. and Ireland box office with a regal £5.2 million ($6.6 million), according to numbers from Comscore.In its second weekend, … [+279 chars]"
,Forbes,"Mark Hughes, Contributor, 
 Mark Hughes, Contributor
 https://www.forbes.com/sites/markhughes/","‘The Marvels’ Makes Box Office History, ‘The Hunger Games’ Eyes #1 Spot","What cost ""The Marvels"" the box office crown for November, and will ""The Hunger Games: The Ballad of Songbirds and Snakes"" become the month's box office royalty?",https://www.forbes.com/sites/markhughes/2023/11/16/the-marvels-makes-box-office-history-the-hunger-games-eyes-1-spot/,https://imageio.forbes.com/specials-images/imageserve/655599a3039693c028c14a3f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-11-16T13:00:00Z,"While Marvel Studios expected The Marvels to blast off to higher box office last weekend, the Captain Marvel sequel from Nia DaCosta still topped the box office for the weekend and officially became … [+7388 chars]"
