Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content
,Kotaku,Levi Winslow,Spider-Man 2 Reportedly Cut A Ton Of Venom Content,"About one month on from Marvel’s Spider-Man 2's launch, we’re learning some new details about Insomniac Games’ open-world robber-stopper RPG. According to a report by YouTuber Evan Filarca, the game had a ton of content cut before releasing on October 20, par…",https://kotaku.com/spider-man-2-miles-morales-venom-symbiote-cut-content-1851048904,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/7797015c8c0c7a626f05c02f05b14006.jpg",2023-11-27T16:15:00Z,"About one month on fromMarvels Spider-Man 2's launch, were learning some new details about Insomniac Games open-world robber-stopper RPG. According to a report by YouTuber Evan Filarca, the game had … [+2415 chars]"
,Forbes,"Conor Murray, Forbes Staff, 
 Conor Murray, Forbes Staff
 https://www.forbes.com/sites/conormurray/",New ‘Hunger Games’ Prequel Faces Franchise’s Worst Average Reviews—Ahead Of Expected $50 Million Opening,The film is also expected to have the franchise’s worst opening weekend at the box office by a large margin—but box office analysts still expect solid revenue.,https://www.forbes.com/sites/conormurray/2023/11/16/new-hunger-games-prequel-faces-franchises-worst-average-reviews-ahead-of-expected-50-million-opening/,"https://imageio.forbes.com/specials-images/imageserve/6556929e82e488c18fddcafc/0x0.jpg?format=jpg&crop=2605,1465,x72,y50,safe&height=900&width=1600&fit=bounds",2023-11-16T22:08:43Z,"The Hunger Games: The Ballad of Songbirds and Snakes opens in theaters Friday, and it already has the lowest Rotten Tomatoes critics score of any of the films in the franchise, at a lukewarm 63%as ea… [+5116 chars]"
,TMZ,TMZ Staff,"Disney's Latest Movie, 'Wish,' Flops Over Thanksgiving Weekend","Another miss from Disney at the box office -- the studio's latest original animated movie bombed with moviegoers over the holiday break ... marking just the latest flop for 'em. Of course, we're talking about 'Wish' ... with Ariana DeBose as the…",https://www.tmz.com/2023/11/26/disney-new-animated-movie-wish-flop-bomb-thanksgiving-box-office/,https://imagez.tmz.com/image/34/16by9/2023/11/26/345bce439c5b47438cf2d2590b0b0e9a_xl.png,2023-11-26T18:46:36Z,"Another miss from Disney at the box office -- the studio's latest original animated movie bombed with moviegoers over the holiday break ... marking just the latest flop for 'em.
Of course, we're tal… [+1514 chars]"
,Gizmodo.com,Germain Lussier,Marvel's What If...? Season 2 Arrives Next Month and Here's the First Trailer,"The Watcher is back in What If season 2.
Image: Marvel Studios
What if Marvel had a holiday present for us all? Nine straight days of brand new stories set in an alternate reality to the Marvel Cinematic Universe? Well, that’s not a hypothetical. It’s actua…",https://gizmodo.com/what-if-season-2-trailer-doctor-strange-marvel-disney-1851024628,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/8f45d2a0eb2556f97bf4c90dedfb9658.jpg",2023-11-15T17:30:00Z,"What if Marvel had a holiday present for us all? Nine straight days of brand new stories set in an alternate reality to the Marvel Cinematic Universe? Well, thats not a hypothetical. Its actually hap… [+1531 chars]"
,GameSpot,Eddie Makuch,Disney CEO Explains Why He Believes The Marvels Fell Short At The Box Office,"The newest MCU movie, The Marvels, debuted this month and had the slowest start at the box office in the history of the MCU. Disney CEO Bob Iger recently discussed the film's commercial shortcomings, saying the poor results were due, in part, to a lack of exe…",https://www.gamespot.com/articles/disney-ceo-explains-why-he-believes-the-marvels-fell-short-at-the-box-office/1100-6519574/,https://www.gamespot.com/a/uploads/screen_kubrick/1179/11799911/4228070-marvelslarge.jpeg,2023-11-30T13:42:00Z,"The newest MCU movie, The Marvels, debuted this month and had the slowest start at the box office in the history of the MCU. Disney CEO Bob Iger recently discussed the film's commercial shortcomings,… [+1825 chars]"
,Screen Rant,Sarah Little,Every Way Ballad Of Songbirds & Snakes Foreshadows Katniss' Future,"The Ballad of Songbirds &amp; Snakes takes place 64 years before Katniss Everdeen’s first Hunger Games, but the film has many nods to the Girl on Fire.",https://screenrant.com/ballad-songbirds-snakes-katniss-future-hunger-games-foreshadow/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/_ballad-songbirds-snakes-katniss-future-hunger-games-foreshadow.jpg,2023-11-28T17:45:13Z,"Summary
<ul><li> The Hunger Games: The Ballad of Songbirds &amp; Snakes contains Easter eggs that foreshadow events in the original trilogy, hinting at the girl who will ultimately destroy President… [+8277 chars]"
,ComingSoon.net,Joon Dutta Roy,The Last Rider Streaming: Watch & Stream Online via Hulu,"If you’re wondering where to stream The Last Rider (2023) online, then you have come to the right place, as we have all the streaming details. Directed by Alex Holmes, the documentary follows the iconic American cyclist Greg LeMond, who became the first non-E…",https://www.comingsoon.net/guides/news/1409656-the-last-rider-streaming-watch-stream-online-via-hulu,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/The-Last-Rider.jpeg?resize=1200,630",2023-11-21T13:09:34Z,"If youre wondering where to stream The Last Rider (2023) online, then you have come to the right place, as we have all the streaming details. Directed by Alex Holmes, the documentary follows the icon… [+3314 chars]"
,Screen Rant,Brennan Klein,"Thanksgiving Box Office: Hunger Games Upsets Disney’s Wish To Keep Top Spot, Projections Show",The Hunger Games: The Ballad of Songbirds and Snakes dominates Disney's new animated movie Wish in the Thanksgiving weekend box office projections.,https://screenrant.com/hunger-games-ballad-songbirds-snakes-wish-movie-thanksgiving-box-office/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/ariana-debose-as-asha-leaning-sadly-against-a-tree-in-wish.jpg,2023-11-24T17:38:04Z,"Summary
<ul><li> The Hunger Games: The Ballad of Songbirds and Snakes has surpassed Disney's Wish at the box office, taking the No. 1 spot during the Thanksgiving weekend. </li><li> The prequel to t… [+2952 chars]"
,Autoblog,Autoblog Staff,2023's best of the best: The top holiday gifts for your loved ones,"Filed under:
 Commerce
 Continue reading 2023's best of the best: The top holiday gifts for your loved ones
2023's best of the best: The top holiday gifts for your loved ones originally appeared on Autoblog on Tue, 5 Dec 2023 12:43:00 EST. Please see our term…",https://www.autoblog.com/article/2023s-best-of-the-best-the-top-holiday-gifts-for-your-loved-ones/,https://s.aolcdn.com/images/dims3/GLOB/legacy_thumbnail/1062x597/format/jpg/quality/100/https://s.aolcdn.com/os/ab/_cms/2023/12/04214222/beautiful_christmas_tree_with_gifts_near_the_modern_fireplace_and_sofa_in_the_living_room.jpeg,2023-12-05T17:43:00Z,"Autoblog may receive a share from purchases made via links on this page. Pricing and availability are subject to change.
As the holiday season fast approaches, the pressure to find the perfect gift … [+21356 chars]"
,Brit + Co,Chloe Williams​,The Marvels Is The Most Creative MCU Movie In Years — So Why Did It Flop?,"If you loved the technicolor experience of Ms. Marvel and walked away from WandaVision and Captain Marvel ready to conquer the world, then you have to check out the final trailer for the MCU's latest flick, The Marvels. The film brings together Carol Danvers …",https://www.brit.co/the-marvels/,https://www.brit.co/media-library/brie-larson-as-carol-danvers-in-the-marvels.jpg?id=50640690&width=1200&height=600&coordinates=0%2C43%2C0%2C120,2023-12-05T17:44:00Z,"If you loved the technicolor experience of Ms. Marvel and walked away from WandaVision and Captain Marvel ready to conquer the world, then you have to check out the final trailer for the MCU's latest… [+5376 chars]"
