Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content
,/FILM,staff@slashfilm.com (Michael Boyle),The Ballad Of Songbirds And Snakes Director Will Make Another Hunger Games Under One Condition,"Director Francis Lawrence is game to make another Hunger Games film after Ballad of Snakes and Songbirds, but only if Suzanne Collins writes a new novel first.",https://www.slashfilm.com/1449952/the-ballad-of-songbirds-and-snakes-director-make-another-hunger-games-under-one-condition/,https://www.slashfilm.com/img/gallery/the-ballad-of-songbirds-and-snakes-director-will-make-another-hunger-games-under-one-condition/l-intro-1700249606.jpg,2023-11-19T17:00:46Z,"With the latest ""Hunger Games"" movie, ""The Ballad of Songbirds and Snakes,"" now out in theaters, viewers might be wondering: Is this the last one? There are still 73 in-universe Hunger Games we've ne… [+1510 chars]"
,/FILM,staff@slashfilm.com (Witney Seibold),Did Josephine Actually Love Napoleon? Ridley Scott Has Thoughts,Were Napoleon Bonaparte (played by Joaquin Phoenix) and Jos&eacute;phine de Beauharnais (played by Vanessa Kirby) really in love? Ridley Scott has thoughts.,https://www.slashfilm.com/1447928/did-josephine-love-napoleon-ridley-scott-has-thoughts/,https://www.slashfilm.com/img/gallery/did-josephine-actually-love-napoleon-ridley-scott-has-thoughts/l-intro-1700079025.jpg,2023-11-22T21:00:00Z,"In Ridley Scott's new historical biopic ""Napoleon,"" the relationship between Napoleon Bonaparte (Joaquin Phoenix) and Joséphine de Beauharnais (Vanessa Kirby) is depicted as refreshingly direct and e… [+1454 chars]"
,Screen Rant,Ryan Northrup,Hunger Games: The Ballad of Songbirds and Snakes Gets Brutally Honest Poster For The Bloated Prequel,"A fan-made poster for The Hunger Games: The Ballad of Songbirds of Snakes has been released, poking fun at one common criticism of the prequel.",https://screenrant.com/hunger-games-ballad-songbirds-snakes-poster-parody/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/rachel-zegler-the-hunger-games-ballad-of-songbirds-and-snakes.jpg,2023-11-27T19:26:52Z,"Summary
<ul><li> A mock poster for The Hunger Games: The Ballad of Songbirds and Snakes makes fun of the movie's long runtime, retitling the movie to ""Three Hour Hunger Games Prequel"". </li><li> Rev… [+3494 chars]"
,Digital Trends,Blair Marnell,7 video game movie and TV adaptations we can’t wait to watch,What's going to be the next great video game adaptation? We've got seven video games in mind that are already optioned for films and TV shows.,https://www.digitaltrends.com/movies/seven-video-game-adaptations-we-cant-wait-to-watch/,https://www.digitaltrends.com/wp-content/uploads/2023/07/BioShock-Big-Daddy.jpg?resize=1200%2C630&p=1,2023-11-16T15:00:24Z,"For decades, video game adaptations have been ridiculed for failing to live up to the games that inspired them, or by the way they flopped at the box office. That changed in a big way this year, incl… [+6014 chars]"
,/FILM,staff@slashfilm.com (Bill Bria),Napoleon Ending Explained: The French Mistake,"Let&amp;#39;s put on our bicorne spoiler hats and look at the ending of Ridley Scott&amp;#39;s historical epic Napoleon, starring Joaquin Phoenix and Vanessa Kirby.",https://www.slashfilm.com/1452810/napoleon-ending-explained/,https://www.slashfilm.com/img/gallery/napoleon-ending-explained-the-french-mistake/l-intro-1700603216.jpg,2023-11-22T12:00:00Z,"Like so many problematic figures of history and fiction, Napoleon (like Marie at the beginning of the film) comes to an ignoble end. Instead of dying a hero or with honor on the battlefield, he's kep… [+1934 chars]"
,IndieWire,Proma Khosla,Kamala Khan Is Marvel’s Not-So-Secret Weapon,"Iman Vellani's wide-eyed teen hero is the saving grace of ""The Marvels"" — and the solid foundation for a new Marvel era.",https://www.indiewire.com/features/commentary/kamala-khan-is-the-marvels-mcu-future-1234924237/,https://www.indiewire.com/wp-content/uploads/2023/11/GRO-01822_RC-1.jpg,2023-11-11T20:00:00Z,"The Marvel Cinematic Universe is well past its peak.
All is not lost just yet, however, as there is still a panoply of costume heroes lining up to save the galaxy from danger or time travel or god-k… [+4215 chars]"
,Space.com,Kimberley Snaith,Save 20% on Lego's Hoopty spaceship from The Marvels this Black Friday,Grab yourself an $18 saving on this fun Lego ship from The Marvels this Black Friday.,https://www.space.com/lego-the-marvels-hoopty-spaceship-black-friday-2023,https://cdn.mos.cms.futurecdn.net/N7uxGtTocxscvc45kVAHN4-1200-80.jpg,2023-11-24T21:45:39Z,"Space is part of Future US Inc, an international media group and leading digital publisher. Visit our corporate site.
©
Future US, Inc. Full 7th Floor, 130 West 42nd Street,
New York,
NY 10036."
,BGR,Jacob Siegal,The Marvels flopping is more proof that the MCU is on life support,"Before The Marvels premiered on November 10th, I figured the bleak projections would end up being an overreaction. After all, Pixar’s Elemental looked like a …
The post The Marvels flopping is more proof that the MCU is on life support appeared first on BGR.",https://bgr.com/entertainment/the-marvels-flopping-is-more-proof-that-the-mcu-is-on-life-support/,https://bgr.com/wp-content/uploads/2023/11/The-Marvels.jpg?quality=82&strip=all,2023-11-21T00:06:00Z,"Before The Marvels premiered on November 10th, I figured the bleak projections would end up being an overreaction. After all, Pixar’s Elemental looked like a flop on its opening weekend but went on t… [+3581 chars]"
,The A.V. Club,Sam Barsanti,Ballad Of Songbirds And Snakes' Rachel Zegler always pictured herself starring in this movie,"With the SAG-AFTRA strike finally over, actors can get back to work acting and doing promotional stuff to promote their acting. Hunger Games prequel The Ballad Of Songbirds And Snakes had gotten an interim agreement in October, so its stars could’ve promoted …",https://www.avclub.com/ballad-of-songbirds-and-snakes-rachel-zegler-star-1851015626,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/1db03fc6cc80a2c65c938054eeb9b666.jpg",2023-11-12T20:50:00Z,"With the SAG-AFTRA strike finally over, actors can get back to work acting and doing promotional stuff to promote their acting. Hunger Games prequel The Ballad Of Songbirds And Snakeshad gotten an in… [+1810 chars]"
,/FILM,staff@slashfilm.com (Witney Seibold),"The Marvels Musical Planet Scene Was Originally Longer, And Iman Vellani Loved It [Exclusive]",Iman Vellani loved filming the musical sequence on Aladna in The Marvels but was disappointed to see how much of it was left out of the theatrical cut.,https://www.slashfilm.com/1446867/the-marvels-musical-planet-scene-longer-iman-vellani-loved-it/,https://www.slashfilm.com/img/gallery/the-marvels-musical-planet-scene-was-originally-longer-and-iman-vellani-loved-it-exclusive/l-intro-1699995259.jpg,2023-11-14T22:00:55Z,"When asked about the cut and/or reshot scenes for ""The Marvels,"" Vellani was forthcoming, saying:
""There's a longer version of the Aladna dance. I am a musical theater nerd, and I loved it. They sen… [+1523 chars]"
