Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content
,Gizmodo.com,Germain Lussier,Hollywood Just Released 2 Teddy Bear Trailers on the Same Day,"Chauncey and Ted are different bears with the same trailer release dates. 
Image: Lionsgate/Peacock
The teddy bears are coming! The teddy bears are coming! Dear God watch out, the teddy bears are coming!The odd exercise in bankrupt creativity started at 8:1…",https://gizmodo.com/ted-tv-trailer-imaginary-blumhouse-horror-trailer-bears-1851027999,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/b841eb712db2249cf3b903838398a7dc.jpg",2023-11-16T17:15:00Z,"The teddy bears are coming! The teddy bears are coming! Dear God watch out, the teddy bears are coming!
The odd exercise in bankrupt creativity started at 8:12 a.m. when I received the following ema… [+2026 chars]"
,Los Angeles Times,Carlos De Loera,"'Hunger Games' prequel tramples 'Trolls' in box office battle royale, scores $44 million","""The Hunger Games: The Ballad of Songbirds & Snakes"" outduels 'Trolls Band Together' to secure the box office title. The film debuts to $44 million, the lowest for any 'Hunger Games' installment.",https://www.latimes.com/entertainment-arts/movies/story/2023-11-19/hunger-games-prequel-tramples-trolls-in-box-office-battle-royale-scores-44-million,https://ca-times.brightspotcdn.com/dims4/default/57db23b/2147483647/strip/true/crop/3600x1890+0+255/resize/1200x630!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fa1%2F3e%2F8435d7be48d4b73b14c4e95a9e93%2Fhunger-games-ballad-00560-r.jpg,2023-11-19T18:15:35Z,"The Hunger Games prequel volunteered as tribute for the weekend box office and was crowned the winner.
Lionsgates The Hunger Games: The Ballad of Songbirds &amp; Snakes hauled in $44 million in Nort… [+2746 chars]"
,Biztoc.com,thewrap.com,‘Hunger Games’ Leads Slow Thanksgiving Box Office With $40 Million 5-Day Total,"The Thanksgiving box office will see improvements from last year’s poor returns, but are still far from pre-pandemic levels as Disney’s “Wish” and Sony/Apple’s “Napoleon” are estimated to open to less than $35 million over five days, allowing Lionsgate’s “The…",https://biztoc.com/x/fca95cbb217184fe,https://c.biztoc.com/p/fca95cbb217184fe/s.webp,2023-11-25T16:56:08Z,"The Thanksgiving box office will see improvements from last years poor returns, but are still far from pre-pandemic levels as Disneys Wish and Sony/Apples Napoleon are estimated to open to less than … [+284 chars]"
business-insider,Business Insider,Kai Xiang Teo,Bob Iger says Disney made too many sequels but he won't apologize for making them,"Referring to ""The Marvels,"" Disney CEO Bob Iger said the movie's poor performance was down to a lack of supervision from executives.",https://www.businessinsider.com/bob-iger-disney-sequels-too-many-wont-apologize-dealbook-summit-2023-11,https://i.insider.com/6567f44858e7c0c29a2823e6?width=1200&format=jpeg,2023-11-30T04:02:17Z,"Disney CEO Bob Iger (left) and Brie Larson, leading actress of Disney's recent film release, ""The Marvels.""Slaven Vlasic/Getty Images and Disney
<ul><li>Quantity has diluted quality at Disney, CEO B… [+2261 chars]"
,Deadline,anthonypauldalessandro,"Fly, ‘Songbird’, Fly: ‘Hunger Games’ Rachel Zegler & More On “Emotion” Of Singing Pic’s “Timeless And Classic” Country Songs Live On Set – LA Premiere","The Hunger Games: The Ballad of Songbirds and Snakes might be dressed up like a prequel in its early roots story of villain-to-be Coriolanus Snow, and some might think that Rachel Zegler’s Lucy Gray Baird is just an early days Katniss from District 12. Howeve…",https://deadline.com/2023/11/hunger-games-ballad-of-songbirds-and-snakes-rachel-zegler-olivia-rodrigo-1235611855/,https://deadline.com/wp-content/uploads/2023/11/IMG_6494-e1699990123662.jpeg?w=1024,2023-11-14T19:29:46Z,"The Hunger Games: The Ballad of Songbirds and Snakesmight be dressed up like a prequel in its early roots story of villain-to-be Coriolanus Snow, and some might think that Rachel Zegler’s Lucy Gray B… [+3229 chars]"
,Nerdist,Rotem Rusak,NAPOLEON’s Lengthy Character Study Lacks Compelling Story,"Ridley Scott's Napoleon is a focused meditation on the historical figure, but it fails to offer audiences any kind of interesting storyline.
The post NAPOLEON’s Lengthy Character Study Lacks Compelling Story appeared first on Nerdist.",https://nerdist.com/article/ridley-scott-napoleon-review-movie-delivers-lengthy-historical-character-study-but-lacks-compelling-story/,https://legendary-digital-network-assets.s3.amazonaws.com/wp-content/uploads/2023/11/16144536/Napoleon-on-a-horse.jpg,2023-11-16T23:24:33Z,Ridley Scott recently told historians calling out historical inaccuracies in Napoleon to “Get a life.” And that seemed to indicate that his big-screen adaptation of Napoleon’s story would be more con… [+6207 chars]
,ComingSoon.net,Neil Bolt,Five Nights at Freddy’s Becomes Blumhouse’s Biggest Movie Ever,"As its theatrical run begins to wind down, the Five Nights at Freddy’s movie has gone and set another record by becoming Blumhouse’s biggest performer of all time at the box office. Five Nights at Freddy’s Has Another Celebratory Pizza Party The video game ad…",https://www.comingsoon.net/movies/news/1415878-fnaf-blumhouse-big-money,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/fnaf-milestone.jpg?resize=1200,630",2023-11-27T17:22:51Z,"As its theatrical run begins to wind down, the Five Nights at Freddys movie has gone and set another record by becoming Blumhouses biggest performer of all time at the box office.
The video game ada… [+1338 chars]"
,Vulture,Joe Reid,"Spiders, Snakes, and Trolls: It’s a Very MFL Thanksgiving","‘The Hunger Games: The Ballad of Songbirds and Snakes’ has hit the box office to a soft opening. Plus, ‘The Holdovers’ is also available in theaters, ‘Thanksgiving’ gets a wide release, and the MFL gets its first ever mid-season bonus prize.",http://www.vulture.com/2023/11/hunger-games-holdovers-thanksgiving-box-office-movies-league.html,https://pyxis.nymag.com/v1/imgs/d39/c6d/7d679d9748f79a2b9c25ae443315c8fb56-mfl-hunger-games-11-21-2023.1x.rsocial.w1200.jpg,2023-11-22T15:00:20Z,"This is the latest edition of the Movies Fantasy League newsletter. The drafting window for this season has closed, but you can still sign up to get the newsletter, which provides a weekly recap of b… [+6594 chars]"
,Kotaku,Ethan Gach,It Happened To Me: The GameStop Black Friday Deal From Hell,One of my favorite Black Friday traditions is scrolling through GameStop on my phone and getting a bunch of cool games for cheap. Usually it works out just fine. Last weekend it was a nightmare. It’s hard to convey just how terrible navigating the experience …,https://kotaku.com/gamestop-black-friday-nintendo-switch-zelda-1851049114,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/1130aca518bc7246e79adc990bcfd93a.jpg",2023-11-27T17:00:00Z,One of my favorite Black Friday traditions is scrolling through GameStop on my phone and getting a bunch of cool games for cheap. Usually it works out just fine. Last weekend it was a nightmare. Its … [+5797 chars]
,Forbes,"Mark Hughes, Contributor, 
 Mark Hughes, Contributor
 https://www.forbes.com/sites/markhughes/",‘The Hunger Games’ Prequel Is Another Failed Franchise Relaunch In 2023,"Despite topping charts worldwide this past weekend, ""The Hunger Games: The Ballad of Songbirds and Snakes"" needs a big holiday boost to avoid becoming another victim of the 2023 box office.",https://www.forbes.com/sites/markhughes/2023/11/22/the-hunger-games-prequel-is-another-failed-franchise-relaunch-in-2023/,https://imageio.forbes.com/specials-images/imageserve/655e25a463e2e5a2820c4df5/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-11-22T16:18:16Z,"With a global bow topping $100 million, The Hunger Games:The Ballad of Songbirds and Snakes topped the box office last weekend. While thats comparatively welcome news in a year that saw Marvel Studio… [+9075 chars]"
