Production_words,Production_tfidf,Cast_words,Cast_tfidf,Lore_words,Lore_tfidf,Box Office_words,Box Office_tfidf,Writing_words,Writing_tfidf,Delivery_words,Delivery_tfidf
hunger,0.043301125594744555,chars,0.03932021248350126,li,0.05258523678008659,box,0.08308714591536595,hunger,0.06074443144467435,li,0.05874114574853413
chars,0.04213087973703813,hunger,0.03818299750207464,marvel,0.048827803349518785,office,0.08308714591536595,games,0.055797176733672224,hunger,0.05220528161428469
games,0.03983570883906779,games,0.03636347653598797,chars,0.038747953899200736,weekend,0.062077987320420136,snakes,0.04509448625607422,games,0.04971756166949804
film,0.026903355785487817,ridley,0.030320809546384362,napoleon,0.03753537179702127,hunger,0.05271448755016631,songbirds,0.043704140059989204,chars,0.04171170563466279
napoleon,0.026897504634189273,director,0.02963702515694992,marvels,0.02886782600515639,ballad,0.05174686381645644,chars,0.04253378831982276,katniss,0.04071134430969723
ridley,0.026532348047540427,scott,0.029063436540363533,hunger,0.024506838589480762,games,0.050990976766527,ballad,0.0410285132017043,marvel,0.03829821315716235
ballad,0.024466821911243258,star,0.028274922138144826,games,0.024361885841118383,songbirds,0.04798100872420625,spoilers,0.03756474837051,set,0.036378488691129016
scott,0.024029313350323,napoleon,0.02766159149260121,cinematic,0.021737021544849362,thanksgiving,0.0472732074947187,contains,0.033568223910851853,movie,0.03452187289034814
years,0.023920969725012536,lawrence,0.02378772023170541,bonaparte,0.020988045527665974,li,0.04681360187684198,napoleon,0.031375682740928584,story,0.028675785139797922
snakes,0.023909755718490466,film,0.02356916959981106,universe,0.020312118666747876,chars,0.045955699376769715,marvels,0.029995817873695128,product,0.02822929741055842
