Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content,Movie name,Typology,
,Gizmodo.com,James Whitbrook,"The Marvels Drama, Fallout TV Show Reveals, and More Top Pop Culture News of the Week","It’s been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at Fallout and Furiosa all made the list of our most read stori…",https://gizmodo.com/top-entertainment-news-fallout-doctor-who-marvel-alien-1851065738,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/7ad4a85d6aa22e76d0ba5d6e534a2e59.jpg",2023-12-02T15:00:00Z,"Its been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at F… [+3679 chars]",The Marvels,Production,
,Gizmodo.com,Artem Golub,Director Francis Lawrence on Making Netflix's BioShock Film,The Hunger Games director chats with io9 about the upcoming video game movie.,https://gizmodo.com/director-francis-lawrence-on-making-netflixs-bioshock-1851066328,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/aa56273cdce7ccd0abecb1bec39b5af6.jpg",2023-12-04T17:50:00Z,"The Hunger Games director chats with io9 about the upcoming video game movie.
We may earn a commission from links on this page.",Hunger Games,Cast,
,The A.V. Club,Sam Barsanti,Beyoncé defeats Godzilla Minus One to claim the weekend box office crown,"Move over superhero movies, the hot new thing in American cinemas is apparently concert films. After Taylor Swift: The Eras Tour made nearly $180 million over the last eight weeks, Beyoncé has arrived to do her part in taking over the theater industry. Renais…",https://www.avclub.com/beyonce-box-office-renaissance-1851069314,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/8b8a0d9399df51bf2b2c2ce4cc263cc7.jpg",2023-12-03T21:18:00Z,"Move over superhero movies, the hot new thing in American cinemas is apparently concert films. After Taylor Swift: The Eras Tour made nearly $180 million over the last eight weeks, Beyoncé has arrive… [+1757 chars]",N/A,N/A,
,Gizmodo.com,Sabina Graves,Hot Toys' New Spider-Man Figure Is Ripped Right From the Comics,"Spidey swings off the page in this upcoming release, and he even comes with a camera for taking pictures... pictures of Spider-Man.",https://gizmodo.com/hot-toys-amazing-spider-man-comic-book-inspire-camera-1851066425,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/32837a53a070db53e7c7012b16ca02ae.jpg",2023-12-01T20:05:00Z,"Heres a first look at the latest Spider-Man figure from collectible giants Hot Toys.
This rendering of the Amazing Spider-Man is inspired by Marvels web-slinging action, complete with pop-out comic … [+626 chars]",N/A,N/A,
business-insider,Business Insider,Jenny McGrath,7 scientific breakthroughs that resulted from Napoleon's invasion of Egypt,"Over 150 scientists went with Napoleon Bonaparte when he invaded Egypt. They mapped pyramids, dissected mummies, and did more scientific work.",https://www.businessinsider.com/napoleon-egypt-invasion-scientific-breakthroughs-2023-11,https://i.insider.com/6569306986933e8fdb2eaa61?width=1200&format=jpeg,2023-12-02T10:37:01Z,"Joaquin Phoenix played ""Napoleon"" in Ridley Scott's latest biopic.Apple TV+
<ul><li>When Napoleon invaded Egypt, he brought dozens of scientists with him.</li><li>Astronomers, mathematicians, and na… [+10427 chars]",Napoleon,Lore,
polygon,Polygon,Ana Diaz,No one can escape the Josh Hutcherson ‘Whistle’ edit,A 2014 fan edit of Josh Hutcherson set to a cover of the song “Whistle” is going viral on TikTok. Here’s where the original video came from and why it’s everywhere.,https://www.polygon.com/23984032/josh-hutcherson-whistle-edit-meme-trend-explained,https://cdn.vox-cdn.com/thumbor/RMIcBoLarx3xqXQ_lOBYAUFHXr8=/11x46:1898x1034/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25125289/vlcsnap_2023_12_01_10h37m31s394.jpg,2023-12-01T20:45:00Z,"Wake up, babe! Early 2010s Tumblr fandom is back, and we have Josh Hutcherson to thank for it. 
In the past two weeks, a fan-made video known as the Josh Hutcherson Whistle edit has gone viral on so… [+3637 chars]",Five Night at Freddy's,Cast,
,Playstation.com,Gillen McAllister (he/him),"Out this month on PS VR2:  Resident Evil 4 VR Mode, Five Nights at Freddy’s: Help Wanted 2, Arashi: Castles of Sins, Arizona Sunshine 2","It’s been an eclectic few months for PS VR2. We’ve been flung to the far reaches of space in captivating puzzle adventure Red Matter, explored the evocative sci-fi world of Journey to Foundation, teamed up to capture spooks in Ghostbusters: Rise of the Ghost …",https://blog.playstation.com/2023/12/04/out-this-month-on-ps-vr2-resident-evil-4-vr-mode-five-nights-at-freddys-help-wanted-2-arashi-castles-of-sins-arizona-sunshine-2/,https://blog.playstation.com/tachyon/2023/12/1d07f00b5321987537b44260b9b4bd365387f4f2.jpeg,2023-12-04T15:00:21Z,"Its been an eclectic few months for PS VR2. Weve been flung to the far reaches of space in captivating puzzle adventure Red Matter, explored the evocative sci-fi world of Journey to Foundation, teame… [+5737 chars]",N/A,N/A,
,Gizmodo.com,Kyle Barr,PlayStation Permanently Suspends Online Accounts for No Clear Reason,"If you woke up recently to find that Sony has “permanently suspended” your PlayStation account for no apparent reason, just know you’re not alone. Sony has kicked an unknown number of PlayStation IDs off its platforms, ostensibly for violating the company’s t…",https://gizmodo.com/playstation-permanently-suspends-online-accounts-for-no-1851073635,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/256d77d25e66fbce9e844848ce86df96.jpg",2023-12-05T16:00:00Z,"If you woke up recently to find that Sony has permanently suspended your PlayStation account for no apparent reason, just know youre not alone. Sony has kicked an unknown number of PlayStation IDs of… [+2172 chars]",N/A,N/A,
,Pitchfork,Evan Minsker,Beyoncé’s Renaissance Movie Tops U.S. Box Office in Its Opening Weekend,"In its first weekend, the concert film bested The Hunger Games: The Ballad of Songbirds & Snakes and Godzilla Minus One",https://pitchfork.com/news/beyonces-renaissance-movie-tops-us-box-office-in-its-opening-weekend/,"https://media.pitchfork.com/photos/656d0bde1f188cf54b4a46f6/16:9/w_1280,c_limit/beyonce.jpeg",2023-12-03T23:18:18Z,"Beyoncés Renaissance movie is the No. 1 movie in the U.S. this weekend, Deadline reports. The film grossed $22 million at the box office this weekend, outperforming The Hunger Games: The Ballad of So… [+1370 chars]",N/A,N/A,
business-insider,Business Insider,Kenneth Niemeyer,PlayStation is removing hundreds of Discovery shows that users already purchased,"PlayStation users who bought any of the hundreds of listed Discovery programs won't be able to access the content as of December 31, Sony said.",https://www.businessinsider.com/playstation-removes-hundreds-of-purchased-discovery-shows-from-library-2023-12,https://i.insider.com/656b67a547f9ecb37d8961a1?width=1200&format=jpeg,2023-12-02T18:18:10Z,"Sony is removing hundreds of Discovery titles from the PlayStation library.NurPhoto/Getty Images
<ul><li>PlayStation users will soon lose access to hundreds of Discovery shows they purchased.</li><l… [+2185 chars]",N/A,N/A,
,IndieWire,Tom Brueggemann,"Who Rules the Box Office? Beyoncé, Godzilla, and a Hindi-Language Thriller","As ""Wish"" and ""The Marvels"" find new depths, salvation comes in the form of left-field releases from once-fringe players.",https://www.indiewire.com/news/box-office/renaissance-beyonce-box-office-queen-1234931622/,https://www.indiewire.com/wp-content/uploads/2023/12/Screen-Shot-2023-12-03-at-11.10.47-AM.png,2023-12-03T19:02:37Z,"The first weekend in December is often a dead zone and this year it it was headed for rock bottom with abysmal results for two prime Disney films. Instead, it’s the best-grossing weekend for this dat… [+7609 chars]",The Marvels,Box Office,
,Marginalrevolution.com,Tyler Cowen,*Napoleon*,"You can’t treat it as a normal movie with anything contextualized or explained.  Nope.  Rather think of it as a crazed male fantasy (the director’s?  Certainly not mine) about one particular way of living, presented large and vivid on the screen, with sex sce…",https://marginalrevolution.com/marginalrevolution/2023/12/napoleon.html,https://marginalrevolution.com/wp-content/uploads/2016/10/MR-logo-thumbnail.png,2023-12-02T20:45:31Z,You can’t treat it as a normal movie with anything contextualized or explained.  Nope.  Rather think of it as a crazed male fantasy (the director’s?  Certainly not mine) about one particular way of l… [+356 chars],Napoleon,Plot,
,Variety,Patrick Frater,"China Box Office: ‘Napoleon’ Defeated in Middle Kingdom Campaign, Opens in Fifth Place","Ridley Scott’s historical epic “Napoleon” was cruelly defeated at the mainland Chinese box office, where it opened in only fifth place on its opening weekend. Chinese crime thriller “Across the Furious Sea” headed the mainland China charts for a second weeken…",https://variety.com/2023/film/news/china-box-office-napoleon-defeated-1235820135/,https://variety.com/wp-content/uploads/2023/10/napoleon.jpg?w=1000&h=563&crop=1,2023-12-04T03:49:21Z,"Ridley Scott’s historical epic “Napoleon” was cruelly defeated at the mainland Chinese box office, where it opened in only fifth place on its opening weekend.
Chinese crime thriller “Across the Furi… [+2300 chars]",Napoleon,Box Office,
,The Indian Express,Entertainment Desk,"Animal box office collection day 5 early reports: Ranbir Kapoor blockbuster approaches Rs 450 cr globally, remains number 1 film ahead of Napoleon and Hunger Games","Animal box office collection day 5 early reports: Ranbir Kapoor's blockbuster film is continuing to reach new heights, as it races towards the Rs 500 crore mark at the global box office.",https://indianexpress.com/article/entertainment/bollywood/animal-box-office-collection-day-5-early-reports-ranbir-kapoor-sandeep-vanga-blockbuster-rs-450-crore-global-9055121/,https://images.indianexpress.com/2023/11/animal.jpeg,2023-12-05T09:29:53Z,"After knocking it out of the park in its first four days of release, director Sandeep Reddy Vanga’s controversial crime thriller, Animal, built on the momentum on day five. Starring Ranbir Kapoor, An… [+2689 chars]",N/A,N/A,
,Stereogum,James Rettig,"Olivia Rodrigo Accepts Award From St. Vincent, Sings “Can’t Catch Me Now” Live For The First Time","Olivia Rodrigo was presented with a Storyteller Of The Year award at Variety‘s annual Hitmakers brunch. St. Vincent handed over the award, describing her as a “precious baby angel muffin, but if a precious baby angel muffin were also tough as nails and cool a…",https://www.stereogum.com/2244456/olivia-rodrigo-accepts-award-from-st-vincent-sings-cant-catch-me-now-live-for-the-first-time/news/,https://static.stereogum.com/uploads/2023/12/GettyImages-1827090162-1701617413.jpg,2023-12-03T15:31:15Z,"Olivia Rodrigo was presented with a Storyteller Of The Year award at Variety‘s annual Hitmakers brunch. St. Vincent handed over the award, describing her as a “precious baby angel muffin, but if a pr… [+791 chars]",N/A,N/A,
,PetaPixel,Matt Growcoot,Ridley Scott Used Multiple Cameras While Filming ‘Napoleon’,"Director Ridley Scott has revealed that he always uses at least four cameras while making movies and says his technique paid off for his latest historical epic, Napoleon.
[Read More]",https://petapixel.com/2023/12/05/ridley-scott-used-multiple-cameras-while-filming-napoleon/,https://petapixel.com/assets/uploads/2023/12/Napoleon-premiere.jpg,2023-12-05T14:20:38Z,"Director Ridley Scott and Joaquin Phoenix at the film premiere of Napoleon at the Prado Museum in Madrid, Spain.
Director Ridley Scott has revealed that he always uses at least four cameras while ma… [+2658 chars]",Napoleon,Production,
,Deadline,Valerie Complex,"Scene 2 Seen Podcast: Mackenzie Lansing Discusses SAG Strike, And Auditioning For ‘Hunger Games: The Ballard Of Songbirds & Snakes’","Hello, and welcome to the Scene to Seen Podcast! I am Valerie Complex Associate editor and film writer at Deadline. Today, I’m chatting with actress Mackenzie Lansing who currently stars as Coral, District Four tribute in the latest Hunger Games: Ballad of So…",https://deadline.com/2023/12/scene-2-seen-mackenzie-lansing-discusses-sag-strike-auditioning-for-hunger-games-1235647407/,https://deadline.com/wp-content/uploads/2023/12/Mackenzie-Lansing.jpg?w=1024,2023-12-01T21:48:45Z,"Hello, and welcome to the Scene to Seen Podcast!
I am Valerie Complex Associate editor and film writer at Deadline. Today, I’m chatting with actress Mackenzie Lansing who currently stars as Coral, D… [+1418 chars]",Hunger Games,Cast,
,/FILM,staff@slashfilm.com (Ryan Scott),The Marvels To Finish Box Office Run As Lowest-Grossing MCU Movie Ever,"Disney will cease reporting box office numbers for The Marvels after just four weekends, as the MCU movie limps towards the finish line.",https://www.slashfilm.com/1461809/marvels-box-office-lowest-grossing-mcu/,https://www.slashfilm.com/img/gallery/the-marvels-to-finish-box-office-run-as-lowest-grossing-mcu-movie-ever/l-intro-1701710991.jpg,2023-12-04T18:00:49Z,We will be analyzing what went wrong here for years to come but let's be clear: there is nothing to celebrate. It's bad for movie theaters that were depending on this movie to help keep ticket sales … [+1563 chars],The Marvels,Box Office,
,/FILM,staff@slashfilm.com (Ben Pearson),Bob Iger's 'Supervision' Comment About The Marvels Crossed A Line,"On today&amp;#39;s episode of the /Film Daily podcast, Ben and BJ talk about Bob Iger&amp;#39;s absurd comment about The Marvels and whether the Disney CEO is losing his touch.",https://www.slashfilm.com/1460560/bob-iger-supervision-comment-the-marvels-crossed-line/,https://www.slashfilm.com/img/gallery/bob-igers-supervision-comment-about-the-marvels-crossed-a-line/l-intro-1701455102.jpg,2023-12-01T21:28:05Z,"For years, Bob Iger has been seen as one of the most level-headed and respected studio chiefs in Hollywood. The two-time Walt Disney Company CEO has been widely praised for his shrewd deal-making (th… [+1549 chars]",The Marvels,Cast,
