Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content,Coded Topic,Movie Name
,IndieWire,David Ehrlich,‘The Hunger Games: The Ballad of Songbirds & Snakes’ Review: The Rare Hollywood Prequel That Towers Over the Rest of Its Franchise,"hollywood's obsession with dystopian ya stories might be over, but the sub-genre's best movie just arrived.",https://www.indiewire.com/criticism/movies/hunger-games-ballad-of-songbirds-and-snakes-movie-review-1234923868/,https://www.indiewire.com/wp-content/uploads/2023/11/MV5BOWI1OTMyZGUtYzVmMy00YTZkLWI2ZTEtNDZhOWIzYmRlY2ExXkEyXkFqcGdeQWFybm8@._V1_.jpg,2023-11-09T19:00:00Z,"Does anyone still have an appetite for the Hunger Games? That is the question asked in and by Francis Lawrence’s “The Ballad of Songbirds &amp; Snakes,” a prequel that’s set 64 years before the first… [+13210 chars]",Production,Hunger Games
,Playstation.com,Kristen Zitani (she/her),Share of the Week: Marvel’s Spider-Man 2 – Peter Parker,"last week, we asked you to share pictures of peter parker himself swinging through marvel’s spider-man 2 using #psshare #psblog. here are this week’s highlights: shimo_ps shares peter moving through the sky using the web wings gunpla_works shares peter perche…",https://blog.playstation.com/2023/11/10/share-of-the-week-marvels-spider-man-2-peter-parker/,https://blog.playstation.com/tachyon/2023/11/0acd56f2c79c4c230695546f115ab9f992a7901d.jpg,2023-11-10T17:00:29Z,"Last week, we asked you to share pictures of Peter Parker himself swinging through Marvels Spider-Man 2 using #PSshare #PSBlog. Here are this weeks highlights:
shimo_psshares Peter moving through th… [+852 chars]",Cast,Marvel
,Forbes,"Dani Di Placido, Senior Contributor, 
 Dani Di Placido, Senior Contributor
 https://www.forbes.com/sites/danidiplacido/","The MCU Is Dying, And Only A Supervillain Can Save It","the marvels is a bomb, and the mcu seems in need of a hero, or rather, a villain.",https://www.forbes.com/sites/danidiplacido/2023/11/12/the-mcu-is-dying-and-only-a-supervillain-can-save-it/,https://imageio.forbes.com/specials-images/imageserve/6551275f1b34604d6a347c4a/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-11-12T20:02:16Z,"Brie Larson, Teyonah Parris, Iman Vellani, Lashana Lynch, Kevin Feige (President, Marvel Studios)
The Walt Disney Company via Getty Images
The death of the Marvel Cinematic Universe has been predic… [+10667 chars]",Lore,Marvel
,IndieWire,Ryan Lattanzio,"Ridley Scott: If I Ever Win an Oscar, ‘I’ll Say, About Feckin’ Time’","the ""napoleon"" director has been nominated four times for directing and producing but has famously never won an academy award.",https://www.indiewire.com/news/general-news/ridley-scott-napoleon-oscar-hopes-about-feckin-time-1234923874/,https://www.indiewire.com/wp-content/uploads/2023/11/GettyImages-1342326413.jpg,2023-11-07T20:00:00Z,"He’s won prizes from the Golden Globes, Cannes, and the Directors Guild, but Ridley Scott has never won a little gold man.
The 85-year-old filmmaker, readying to unleash his Joaquin Phoenix-starring… [+2060 chars]",Cast,
,ComingSoon.net,Ayeshaasif,The Hunger Games: Mockingjay Part 1 Streaming: Watch & Stream Online via Peacock,"wondering where to watch the hunger games: mockingjay part 1 (2014)? you’ve come to the right place, as we’ve got all the streaming details for you. the hunger games: mockingjay part 1 follows katniss everdeen as she becomes the mockingjay, thus openly rebell…",https://www.comingsoon.net/movies/news/1394343-the-hunger-games-mockingjay-part-1-streaming-watch-stream-online-via-peacock,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/The-Hunger-Games-Mockingjay-Part-1.jpeg?resize=1200,630",2023-11-08T12:42:53Z,"Wondering where to watch The Hunger Games: MockingjayPart 1(2014)? Youve come to the right place, as weve got all the streaming details for you. The Hunger Games: Mockingjay Part 1 follows Katniss Ev… [+3112 chars]",Writing,Hunger Games
,ComingSoon.net,Ayeshaasif,The Hunger Games: Mockingjay Part 2 Streaming: Watch & Stream Online via Peacock,"wondering where to watch the hunger games: mockingjay part 2? you’ve come to the right place, as we’ve got all the streaming details for you. this is the final movie of the hunger games series that follows katniss everdeen and her supporters as they lead an o…",https://www.comingsoon.net/movies/news/1394546-the-hunger-games-mockingjay-part-2-streaming-watch-stream-online-via-peacock,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/The-Hunger-Games-Mockingjay-Part-2.jpg?resize=1200,630",2023-11-08T13:17:13Z,"Wondering where to watch The Hunger Games: Mockingjay Part 2? Youve come to the right place, as weve got all the streaming details for you. This is the final movie of the Hunger Games series that fol… [+3014 chars]",Writing,Hunger Games
,Nerdist,Rotem Rusak,THE HUNGER GAMES: THE BALLAD OF SONGBIRDS AND SNAKES Centers a Predictable Villain While Its Side Characters Shine,"the hunger games: the ballad of songbirds and snakes focused on a fairly predictable villain origin story while its side characters shone.
the post the hunger games: the ballad of songbirds and snakes centers a predictable villain while its side characters sh…",https://nerdist.com/article/the-hunger-games-the-ballad-of-songbirds-and-snakes-review-prequel-movie-delivers-predictable-villain-origin-story/,https://legendary-digital-network-assets.s3.amazonaws.com/wp-content/uploads/2023/05/23103341/The-Hunger-Games-a-Ballad-of-Songbirds-and-Snakes-Lucy-Gray-Baird-and-Coriolanus-Snow.jpg,2023-11-09T19:00:00Z,"An origin story for a true villain is always a complicated prospect, a fine needle to thread. When The Hunger Games: TheBallad of Songbirds and Snakes was first announced, the chief question for me w… [+6913 chars]",Writing,Hunger Games
,Forbes,"Hugh McIntyre, Senior Contributor, 
 Hugh McIntyre, Senior Contributor
 https://www.forbes.com/sites/hughmcintyre/",Olivia Rodrigo Is Eligible For An Oscar With Her ‘Hunger Games’ Single,"olivia rodrigo's new single ""can't catch me now"" fronts the soundtrack for the new hunger games movie, and it immediately makes her eligible for an academy award.",https://www.forbes.com/sites/hughmcintyre/2023/11/07/olivia-rodrigo-is-eligible-for-an-oscar-with-her-hunger-games-single/,https://imageio.forbes.com/specials-images/imageserve/65147fc85b6fd842f5f9d858/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-11-07T17:00:00Z,"LAS VEGAS, NEVADA - APRIL 03: Olivia Rodrigo accepts the Best Pop Vocal Album award for Sour ... [+] onstage during the 64th Annual GRAMMY Awards at MGM Grand Garden Arena on April 03, 2022 in Las Ve… [+2469 chars]",Production,
,CNET,Max McHone,"Walmart Black Friday Deals: Score Early Savings on Tech, Home Goods and More - CNET","walmart plus members get early access to these deals, but everyone will be able to shop hundreds of amazing bargains starting today.",https://www.cnet.com/deals/walmart-black-friday/,https://www.cnet.com/a/img/resize/55048f43dfb341f148bd470fe8ef824b7aca6bde/hub/2023/11/08/b93c0421-934c-49ea-8c13-627afb24cf63/black-friday-walmart-deals.png?auto=webp&fit=crop&height=675&width=1200,2023-11-08T17:02:05Z,"Black Friday falls on Nov. 24 this year, which is still over two weeks away. But this massive sale event is far too big for just one day -- it now spans almost the entire month of November. Several r… [+10856 chars]",,
,/FILM,staff@slashfilm.com (Sandy Schaefer),"Is Napoleon Dynamite 2 Happening, Or Should We Just Enjoy Some Tots Without Him?","with napoleon dynamite coming up on its 20th anniversary, what are the odds of jared hess&amp;#39; cult hit getting a sequel? here&amp;#39;s everything we know.",https://www.slashfilm.com/1437896/napoleon-dynamite-2-is-it-happening/,https://www.slashfilm.com/img/gallery/is-napoleon-dynamite-2-happening-or-should-we-just-enjoy-some-tots-without-him/l-intro-1699029505.jpg,2023-11-08T10:45:01Z,"Despite being the brainchild of two guys who went to Bringham Young University, ""Napoleon Dynamite"" isn't actually a Mormon film (although the Mormon film industry is a very real thing you can ventur… [+1487 chars]",Lore,Napoleon
