Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content
,Gizmodo.com,James Whitbrook,"The Marvels Drama, Fallout TV Show Reveals, and More Top Pop Culture News of the Week","It’s been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at Fallout and Furiosa all made the list of our most read stori…",https://gizmodo.com/top-entertainment-news-fallout-doctor-who-marvel-alien-1851065738,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/7ad4a85d6aa22e76d0ba5d6e534a2e59.jpg",2023-12-02T15:00:00Z,"Its been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at F… [+3679 chars]"
,Gizmodo.com,Artem Golub,Director Francis Lawrence on Making Netflix's BioShock Film,The Hunger Games director chats with io9 about the upcoming video game movie.,https://gizmodo.com/director-francis-lawrence-on-making-netflixs-bioshock-1851066328,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/aa56273cdce7ccd0abecb1bec39b5af6.jpg",2023-12-04T17:50:00Z,"The Hunger Games director chats with io9 about the upcoming video game movie.
We may earn a commission from links on this page."
,The A.V. Club,Sam Barsanti,Beyoncé defeats Godzilla Minus One to claim the weekend box office crown,"Move over superhero movies, the hot new thing in American cinemas is apparently concert films. After Taylor Swift: The Eras Tour made nearly $180 million over the last eight weeks, Beyoncé has arrived to do her part in taking over the theater industry. Renais…",https://www.avclub.com/beyonce-box-office-renaissance-1851069314,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/8b8a0d9399df51bf2b2c2ce4cc263cc7.jpg",2023-12-03T21:18:00Z,"Move over superhero movies, the hot new thing in American cinemas is apparently concert films. After Taylor Swift: The Eras Tour made nearly $180 million over the last eight weeks, Beyoncé has arrive… [+1757 chars]"
,Gizmodo.com,Sabina Graves,Hot Toys' New Spider-Man Figure Is Ripped Right From the Comics,"Spidey swings off the page in this upcoming release, and he even comes with a camera for taking pictures... pictures of Spider-Man.",https://gizmodo.com/hot-toys-amazing-spider-man-comic-book-inspire-camera-1851066425,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/32837a53a070db53e7c7012b16ca02ae.jpg",2023-12-01T20:05:00Z,"Heres a first look at the latest Spider-Man figure from collectible giants Hot Toys.
This rendering of the Amazing Spider-Man is inspired by Marvels web-slinging action, complete with pop-out comic … [+626 chars]"
business-insider,Business Insider,Jenny McGrath,7 scientific breakthroughs that resulted from Napoleon's invasion of Egypt,"Over 150 scientists went with Napoleon Bonaparte when he invaded Egypt. They mapped pyramids, dissected mummies, and did more scientific work.",https://www.businessinsider.com/napoleon-egypt-invasion-scientific-breakthroughs-2023-11,https://i.insider.com/6569306986933e8fdb2eaa61?width=1200&format=jpeg,2023-12-02T10:37:01Z,"Joaquin Phoenix played ""Napoleon"" in Ridley Scott's latest biopic.Apple TV+
<ul><li>When Napoleon invaded Egypt, he brought dozens of scientists with him.</li><li>Astronomers, mathematicians, and na… [+10427 chars]"
polygon,Polygon,Ana Diaz,No one can escape the Josh Hutcherson ‘Whistle’ edit,A 2014 fan edit of Josh Hutcherson set to a cover of the song “Whistle” is going viral on TikTok. Here’s where the original video came from and why it’s everywhere.,https://www.polygon.com/23984032/josh-hutcherson-whistle-edit-meme-trend-explained,https://cdn.vox-cdn.com/thumbor/RMIcBoLarx3xqXQ_lOBYAUFHXr8=/11x46:1898x1034/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25125289/vlcsnap_2023_12_01_10h37m31s394.jpg,2023-12-01T20:45:00Z,"Wake up, babe! Early 2010s Tumblr fandom is back, and we have Josh Hutcherson to thank for it. 
In the past two weeks, a fan-made video known as the Josh Hutcherson Whistle edit has gone viral on so… [+3637 chars]"
,Playstation.com,Gillen McAllister (he/him),"Out this month on PS VR2:  Resident Evil 4 VR Mode, Five Nights at Freddy’s: Help Wanted 2, Arashi: Castles of Sins, Arizona Sunshine 2","It’s been an eclectic few months for PS VR2. We’ve been flung to the far reaches of space in captivating puzzle adventure Red Matter, explored the evocative sci-fi world of Journey to Foundation, teamed up to capture spooks in Ghostbusters: Rise of the Ghost …",https://blog.playstation.com/2023/12/04/out-this-month-on-ps-vr2-resident-evil-4-vr-mode-five-nights-at-freddys-help-wanted-2-arashi-castles-of-sins-arizona-sunshine-2/,https://blog.playstation.com/tachyon/2023/12/1d07f00b5321987537b44260b9b4bd365387f4f2.jpeg,2023-12-04T15:00:21Z,"Its been an eclectic few months for PS VR2. Weve been flung to the far reaches of space in captivating puzzle adventure Red Matter, explored the evocative sci-fi world of Journey to Foundation, teame… [+5737 chars]"
,Gizmodo.com,Kyle Barr,PlayStation Permanently Suspends Online Accounts for No Clear Reason,"If you woke up recently to find that Sony has “permanently suspended” your PlayStation account for no apparent reason, just know you’re not alone. Sony has kicked an unknown number of PlayStation IDs off its platforms, ostensibly for violating the company’s t…",https://gizmodo.com/playstation-permanently-suspends-online-accounts-for-no-1851073635,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/256d77d25e66fbce9e844848ce86df96.jpg",2023-12-05T16:00:00Z,"If you woke up recently to find that Sony has permanently suspended your PlayStation account for no apparent reason, just know youre not alone. Sony has kicked an unknown number of PlayStation IDs of… [+2172 chars]"
,Pitchfork,Evan Minsker,Beyoncé’s Renaissance Movie Tops U.S. Box Office in Its Opening Weekend,"In its first weekend, the concert film bested The Hunger Games: The Ballad of Songbirds & Snakes and Godzilla Minus One",https://pitchfork.com/news/beyonces-renaissance-movie-tops-us-box-office-in-its-opening-weekend/,"https://media.pitchfork.com/photos/656d0bde1f188cf54b4a46f6/16:9/w_1280,c_limit/beyonce.jpeg",2023-12-03T23:18:18Z,"Beyoncés Renaissance movie is the No. 1 movie in the U.S. this weekend, Deadline reports. The film grossed $22 million at the box office this weekend, outperforming The Hunger Games: The Ballad of So… [+1370 chars]"
business-insider,Business Insider,Kenneth Niemeyer,PlayStation is removing hundreds of Discovery shows that users already purchased,"PlayStation users who bought any of the hundreds of listed Discovery programs won't be able to access the content as of December 31, Sony said.",https://www.businessinsider.com/playstation-removes-hundreds-of-purchased-discovery-shows-from-library-2023-12,https://i.insider.com/656b67a547f9ecb37d8961a1?width=1200&format=jpeg,2023-12-02T18:18:10Z,"Sony is removing hundreds of Discovery titles from the PlayStation library.NurPhoto/Getty Images
<ul><li>PlayStation users will soon lose access to hundreds of Discovery shows they purchased.</li><l… [+2185 chars]"
,IndieWire,Tom Brueggemann,"Who Rules the Box Office? Beyoncé, Godzilla, and a Hindi-Language Thriller","As ""Wish"" and ""The Marvels"" find new depths, salvation comes in the form of left-field releases from once-fringe players.",https://www.indiewire.com/news/box-office/renaissance-beyonce-box-office-queen-1234931622/,https://www.indiewire.com/wp-content/uploads/2023/12/Screen-Shot-2023-12-03-at-11.10.47-AM.png,2023-12-03T19:02:37Z,"The first weekend in December is often a dead zone and this year it it was headed for rock bottom with abysmal results for two prime Disney films. Instead, it’s the best-grossing weekend for this dat… [+7609 chars]"
