,Source Name,Author,Title,Description,URL,Published At,Content
0,IGN,Mario Seijas,"La película de Bioshock ya tiene el primer borrador de guión, y el director está ""super emocionado""","rapture da sus primeros pasitos hacia la gran pantalla.
francis lawrence habla más sobre lo que le atrajo de bioshock y sus similitudes con sus anteriores películas.",https://es.ign.com/bioshock-the-movie/195738/news/la-pelicula-de-bioshock-ya-tiene-el-primer-borrador-de-guion-y-el-director-esta-super-emocionado,2023-11-02T09:30:26Z,"El camino hacia la adaptación cinematográfica de BioShock ha sido largo, pero acabamos de recibir una noticia muy interesante sobre la situación actual.
Netflix anunció por primera vez el año pasado… [+2631 chars]"
1,Fast Company,Scott Nover,TikTok is America’s next major news source,"a man stares into the camera and hits me with: “hey everyone. genocide is bad.” i scroll down to the next video where another guy proclaims that young liberals are “rooting for a radical islamic nazi death cult.” i keep scrolling, eager to get back to fantasy…",https://www.fastcompany.com/90987238/tiktok-is-americas-next-major-news-source,2023-11-22T07:00:00Z,A man stares into the camera and hits me with: “Hey everyone. Genocide is bad.” I scroll down to the next video where another guy proclaims that young liberals are “rooting for a radical Islamic Nazi… [+7391 chars]
2,Gizmodo.com,Sabina Graves,Cómo la Capitana Marvel de Brie Larson se convierte en mentora en The Marvels,"las maravillas finalmente llega a los cines esta semana con el equipo cósmico entre el capitán marvel (brie larson), la sra. marvel (iman vellani) y mónica. rambeau (teyonah parris). read more...",https://es.gizmodo.com/la-entrevista-de-marvels-nia-dacosta-brie-larson-mcu-1850996003,2023-11-06T19:30:00Z,"Las maravillas finalmente llega a los cines esta semana con el equipo cósmico entre el Capitán Marvel (Brie Larson), la Sra. Marvel (Iman Vellani) y Mónica. Rambeau (Teyonah Parris). 
el estudios ma… [+2451 chars]"
3,Tubefilter,Sam Gutelle,Addison Rae enters “scream queen era” title with role in horror flick ‘Thanksgiving’,"addison rae easterling's latest acting role comes in a holiday-themed horror movie. the tiktok star and gen z icon has a supporting role in thanksgiving, a new film from director eli roth.
thanksgiving is a slasher film that takes place against the backdrop o…",https://www.tubefilter.com/2023/11/21/addison-rae-thanksgiving-horror-movie-scream-queen-eli-roth/,2023-11-21T17:58:59Z,"Addison Rae Easterling‘s latest acting role comes in a holiday-themed horror movie. The TikTok star and Gen Z icon has a supporting role in Thanksgiving, a new film from director Eli Roth.
Thanksgiv… [+1688 chars]"
4,Vanity Fair,Chris Murphy,Nia DaCosta Says Her ‘Marvels’ Departure Was Not “Dramatic”,"after variety reported that dacosta ruffled feathers when she left ‘the marvels’ during post-production, the director set the record straight: “they knew the entire time that i had an obligation.”",https://www.vanityfair.com/hollywood/2023/11/nia-dacosta-says-her-marvels-departure-was-not-dramatic,2023-11-06T18:05:48Z,Nia DaCosta is setting the record straight. The buzzy director who became Marvels youngest director and first-ever Black female director with The Marvels has addressed a recent Variety report that sh… [+2851 chars]
5,Journal du geek,Allan Blanvillain,Critique Five Nights at Freddy’s : un bon petit somme ? ,"succès surprise aux états-unis, five nights at freddy's débarque chez nous peu après halloween pour faire frissonner les amateurs de films d'horreur et les fans du jeu vidéo. ou aucun des deux. sûrement aucun des deux.
critique five nights at freddy’s : un bo…",https://www.journaldugeek.com/critique/critique-five-nights-at-freddys-un-bon-petit-somme-🐻/,2023-11-08T12:01:01Z,"La formule mathématique de la société Blumhouse est simple : produire plus avec moins pour gagner plus afin de produire plus gros. Pour le dire simplement, un paquet de petits films d’horreur bas bud… [+5972 chars]"
6,International Business Times,AFP News,'Hunger Games' Still Tops In N.America After 'Napoleon' Invades,"the ""hunger games"" prequel stayed atop the north american box office over the long us thanksgiving weekend, fending off an invasion by new ridley scott film ""napoleon,"" industry watcher exhibitor relations reported sunday.",https://www.ibtimes.com/hunger-games-still-tops-namerica-after-napoleon-invades-3719429,2023-11-26T18:45:31Z,"The ""Hunger Games"" prequel stayed atop the North American box office over the long US Thanksgiving weekend, fending off an invasion by new Ridley Scott film ""Napoleon,"" industry watcher Exhibitor Rel… [+2518 chars]"
7,PetaPixel,Pesala Bandara,The Generation Z ‘Scrunch Face’ is the Selfie Pose Taking Over Instagram,"move over ""duckface,"" there is a new selfie pose that has taken over instagram in 2023. featuring squinted eyes, a crumpled-up nose, and a furrowed expression that looks like you smelt something bad: meet the ""scrunch face.""
[read more]",https://petapixel.com/2023/11/07/the-generation-z-scrunch-face-is-the-selfie-pose-taking-over-instagram/,2023-11-07T20:03:52Z,"From left to right: Kylie Jenner, Addison Rae, and TikToker @strawberrymilkmob doing “scrunch face.”
Move over “duckface,” there is a new selfie pose that has taken over Instagram in 2023. Featuring… [+3170 chars]"
8,Cineblog.it,Pietro Ferraro,"Thanksgiving: featurette in italiano, nuovi poster e colonna sonora dello slasher horror di Eli Roth","thanksgiving, lo slasher horror di eli roth ha debuttato nei cinema italiani - guarda una featurette in italiano, nuovi poster e ascolta la colonna sonora di brandon roberts.",https://www.cineblog.it/post/thanksgiving-featurette-in-italiano-nuovi-poster-e-colonna-sonora-dello-slasher-horror-di-eli-roth,2023-11-17T11:44:24Z,"Thanksgiving La morte ringrazierà, lo slasher horror di Eli Roth ha debuttato nei cinema italiani, e con il film nelle sale approfondiamo con una featurette sottotitolata in italiano che ci porta die… [+2998 chars]"
9,Deadline,Pete Hammond,‘Thanksgiving’ Review: Patrick Dempsey Polices Eli Roth’s Hard-R Slasher Flick That Started As A Fake Trailer But Proves To Have Enough Leftovers To Still Gross Us Out,director and horror aficionado eli roth had plenty of fun working on his friends quentin tarantino and robert rodriguez’s 2007 drive-in double feature grindhouse. roth wasn’t part of the main attraction but he did do one of the fake trailers for a non-existen…,https://deadline.com/2023/11/thanksgiving-review-patrick-dempsey-eli-roths-slasher-flick-fake-trailer-turned-full-length-feature-1235612778/,2023-11-15T18:08:00Z,Director and horror aficionado Eli Roth had plenty of fun working on his friends Quentin Tarantino and Robert Rodriguez’s 2007 drive-in double feature Grindhouse. Roth wasn’t part of the main attract… [+3769 chars]
10,Espinof.com,Mikel Zorrilla,'The Marvels' me ha sorprendido. Esperaba el mayor desastre de la historia de Marvel y he encontrado un digno pasatiempo en el que sobresale Iman Vellani,"todo lo que sube tiene que bajar, y el consenso prácticamente unánime es que marvel tocó techo con 'vengadores: endgame'. luego han llegado varias películas y series, algunas mejores ('black panther: wakanda forever') y otras peores ('eternals'), pero todavía…",https://www.espinof.com/criticas/the-marvels-me-ha-sorprendido-esperaba-mayor-desastre-historia-marvel-he-encontrado-digno-pasatiempo-que-sobresale-iman-vellani,2023-11-08T19:41:01Z,"Todo lo que sube tiene que bajar, y el consenso prácticamente unánime es que Marvel tocó techo con 'Vengadores: Endgame'. Luego han llegado varias películas y series, algunas mejores ('Black Panther:… [+4920 chars]"
11,Espinof.com,Víctor López G.,"Las primeras opiniones de 'The Marvels' rezuman entusiasmo ante su divertida apuesta, pero también subrayan ""serios problemas de guión"" y otros males comunes del cine de superhéroes reciente","sólo queda un día para que se estrene 'the marvels', la nueva película del universo cinematográfico de marvel que va a llegar a nuestras salas de cine después de un proceso de producción, cuando menos, convulso, y con las expectativas tanto internas —sus prev…",https://www.espinof.com/estrenos/primeras-opiniones-the-marvels-rezuman-entusiasmo-su-divertida-apuesta-tambien-subrayan-serios-problemas-guion-otros-males-comunes-cine-superheroes-reciente,2023-11-08T11:45:37Z,"Sólo queda un día para que se estrene 'The Marvels', la nueva película del Universo Cinematográfico de Marvel que va a llegar a nuestras salas de cine después de un proceso de producción, cuando meno… [+2207 chars]"
12,The Indian Express,Entertainment Desk,Samantha Ruth Prabhu unveils new teaser of The Marvels: ‘Captain Marvel has always been one of my favourite superheroes’,actor samantha ruth prabhu was in hyderabad to promote the release of marvel's upcoming film the marvels.,https://indianexpress.com/article/entertainment/tamil/samantha-ruth-prabhu-unveils-new-promo-of-the-marvels-captain-marvel-9012079/,2023-11-03T11:41:21Z,"Samantha Ruth Prabhu is at it again. The actor, who came out in support of Captain Marvel in 2019, is once again backing her favourite Marvel character. On Friday, Samantha unveiled a new promo of th… [+1774 chars]"
13,Deadline,anthonypauldalessandro,‘The Marvels’ Hovers Around $6M Thursday Night As Stars Make Their Way To Cinemas Post-Actors Strike – Box Office,"exclusive: marvel studios’ sequel, the marvels, has clocked around $6.5m in thursday night previews we hear from sources. disney will be reporting their official figure this morning and we’ll update you then. previews began at 3pm. the fear out there by many …",https://deadline.com/2023/11/box-office-the-marvels-1235599363/,2023-11-10T15:43:09Z,"EXCLUSIVE: Marvel Studios‘ sequel, The Marvels, has clocked around $6.5M in Thursday night previews we hear from sources. Disney will be reporting their official figure this morning and we’ll update … [+2964 chars]"
14,Biztoc.com,thewrap.com,‘Hunger Games’ Director Francis Lawrence in Talks to Tackle Stephen King Adaptation ‘The Long Walk’,"lionsgate is in final talks with “hunger games” director francis lawrence to develop stephen king’s “the long walk,” according to an insider with knowledge of the project. jt mollner is writing the script based on king’s novel. originally published in 1979 un…",https://biztoc.com/x/8102dc43ed934648,2023-11-30T00:32:14Z,"Lionsgate is in final talks with Hunger Games director Francis Lawrence to develop Stephen Kings The Long Walk, according to an insider with knowledge of the project.JT Mollner is writing the script … [+296 chars]"
15,Espinof.com,Mikel Zorrilla,"""El libro de Stephen King es mejor"". Ridley Scott afirma que Stanley Kubrick destrozó 'El Resplandor' y explica su inesperada conexión con el final de 'Blade Runner'","el nombre de ridley scott va a sonar mucho durante los próximos días, ya que se encuentra en plena campaña promocional de 'napoleón' y por todos es sabido que no se corta lo más mínimo cada vez que concede una entrevista. un buen ejemplo de ello lo tenemos co…",https://www.espinof.com/directores-y-guionistas/libro-stephen-king-mejor-ridley-scott-afirma-que-stanley-kubrick-destrozo-resplandor-explica-su-inesperada-conexion-final-blade-runner,2023-11-16T13:01:11Z,"El nombre de Ridley Scott va a sonar mucho durante los próximos días, ya que se encuentra en plena campaña promocional de 'Napoleón' y por todos es sabido que no se corta lo más mínimo cada vez que c… [+2325 chars]"
16,Boston Herald,James Verniere,Few winners in ‘Hunger Games’ prequel,"at times, this “hunger games” installment is like a hard-to-follow, futuristic “gladiator.” at other, it's a dystopian “lord of the flies” meets “game of thrones.”",https://www.bostonherald.com/2023/11/16/few-winners-in-hunger-games-prequel/,2023-11-16T05:48:14Z,"Ah, Panem, how I have longed to return to your shores (kidding).
Who is responsible for The Hunger Games: The Ballad of Songbirds &amp; Snakes, the prequel to those mostly awful The Hunger Games fil… [+3423 chars]"
