,Source Name,Author,Title,Description,URL,Published At,Content
153,Livejournal.com,queenursula,Photos from the Hunger Games Los Angeles premiere,"pic.twitter.com/y3vnq3gvgm
— ' (@cravemedia_) november 14, 2023tom blyth and rachel zeglerpic.twitter.com/w4hvfzyglh
— ' (@cravemedia_) november 14, 2023hunter schaferpic.twitter.com/jnqoyn244f
— ' (@cravemedia_) november 14, 2023viola davispic.twitter.com…",https://ohnotheydidnt.livejournal.com/127233366.html,2023-11-14T13:12:05Z,"pic.twitter.com/y3vnq3GvgM
— ' (@cravemedia_) November 14, 2023
Tom Blyth and Rachel Zegler
pic.twitter.com/W4HvFzYglh
— ' (@cravemedia_) November 14, 2023
Hunter Schafer
pic.twitter.com/jNqoYn… [+786 chars]"
154,IndieWire,Samantha Bergeson,Ridley Scott to Critics of Historical Inaccuracies in ‘Napoleon’: ‘Get a Life’,the director called out a historian who nitpicked the trailer for the period piece starring joaquin phoenix as the french dictator.,https://www.indiewire.com/news/general-news/ridley-scott-napoleon-historical-inaccuracies-get-a-life-1234923623/,2023-11-06T20:30:00Z,"Ridley Scott didn’t make “Napoleon” for history classes. 
The director shrugged off criticisms over historical inaccuracies of the upcoming period piece starring Joaquin Phoenix as the French ruler … [+1798 chars]"
155,GQ Magazine,Esther Zuckerman,This Was the Year of Extremely Awkward Joaquin Phoenix Love Scenes,"he's always been a daring actor. but in 'beau is afraid' and 'napoleon,' he did some of his best work ever—by leaning into the comedy of sexual ineptitude.",https://www.gq.com/story/this-was-the-year-of-really-weird-joaquin-phoenix-love-scenes,2023-12-04T23:12:40Z,"Napoleon, on the other hand, is, yknow, an emperorone of the most powerful men in history. But as played by Phoenix, he's also something of an insecure child-man. Scott allows Phoenix to use his Amer… [+1911 chars]"
156,Hipertextual,Aglaia Berlutti,"Quién es Photon, una de las tres heroínas en ‘The Marvels’","monica rambeau/photon ha tenido una participación discreta en el universo cinematográfico de marvel. de su aparición en la historia de origen de carol danvers (interpretada por akira akbar) a su papel en bruja escarlata y visión (teyonah parris), no hay mucho…",http://hipertextual.com/2023/11/quien-es-photon-una-de-las-tres-heroinas-en-the-marvels,2023-11-11T15:05:00Z,Monica Rambeau/Photon ha tenido una participación discreta en el Universo Cinematográfico de Marvel. De su aparición en la historia de origen de Carol Danvers (interpretada por Akira Akbar) a su pape… [+6982 chars]
157,Digital Journal,AFP,‘Hunger Games’ still tops in N.America after ‘Napoleon’ invades,"the ""hunger games"" prequel stayed atop the north american box office over the long us thanksgiving weekend.
the post ‘hunger games’ still tops in n.america after ‘napoleon’ invades appeared first on digital journal.",https://www.digitaljournal.com/entertainment/hunger-games-still-tops-in-n-america-after-napoleon-invades/article,2023-11-26T18:48:09Z,"US actor Joaquin Phoenix, star of the new Ridley Scott epic ""Napoleon,"" poses at a November 20, 2023 event in Madrid - Copyright AFP Manolis LAGOUTARIS
The “Hunger Games” prequel stayed atop the Nor… [+2672 chars]"
158,/FILM,staff@slashfilm.com (BJ Colangelo),All Of Rachel Zegler's Ballad Of Songbirds And Snakes Singing Was Done Live On Set [Exclusive],"the voice you hear rachel zegler singing with in the hunger games: the ballad of songbirds and snakes was recorded live on set, that&amp;#39;s how good she is!",https://www.slashfilm.com/1450025/rachel-zegler-the-hunger-games-the-ballad-of-songbirds-and-snakes-singing-live-exclusive/,2023-11-19T18:45:04Z,"There are a multitude of ways to incorporate characters singing on screen in a film. Traditionally, the actors record the tracks separately from their on-set line delivery and lip-sync during the act… [+1704 chars]"
159,Leganerd.com,Jacopo Fioretti,"Five Nights at Freddy’s, la recensione: il difficile rapporto tra critica e pubblico",a fine estate 2014 uscì un videogioco survival horror punta e clicca completamente indipendente. un’operazione piccola che divenne un successo incredibile. inizialmente era mirata ad un divertimento basato più che altro sul jump scare e su dei ribaltamenti co…,https://leganerd.com/2023/11/08/five-nights-at-freddys-la-recensione-il-difficile-rapporto-tra-critica-e-pubblico/,2023-11-08T18:00:52Z,A fine estate 2014 uscì un videogioco survival horror punta e clicca completamente indipendente. Un’operazione piccola che divenne un successo incredibile. Inizialmente era mirata ad un divertimento … [+8567 chars]
160,/FILM,staff@slashfilm.com (Mike Shutt),Michael Douglas Almost Played Christopher Columbus For Ridley Scott,"shortly before michael douglas starred in basic instinct, ridley scott considered casting the actor as christopher columbus in 1492: conquest of paradise.",https://www.slashfilm.com/1384673/michael-douglas-christopher-columbus-ridley-scott-1492-conquest-paradise/,2023-11-15T13:00:00Z,"Before ""Thelma &amp; Louise,"" Thom Noble edited two films for Peter Weir: ""Witness"" and ""The Mosquito Coast."" The latter of those was a nightmare production, in which Noble says that by the end ""nobo… [+1499 chars]"
161,/FILM,staff@slashfilm.com (Valerie Ettenhofer),Five Nights At Freddy's Director Was Frightened By Freddy In A Very Real Way On Set,"the director of five nights at freddy&amp;#39;s, emma tammi, confesses to being a bit afraid of the animatronics at times. they even moved of their own free will a bit.",https://www.slashfilm.com/1432853/five-nights-at-freddys-movie-director-on-set-scare/,2023-11-06T13:45:18Z,"According to an interview Tammi did with Entertainment Weekly, the animatronics also had a creepy tendency to make movements of their own volition. ""They did have a life of their own at times,"" the f… [+1382 chars]"
162,Espinof.com,Víctor López G.,"""Los franceses ni siquiera se gustan a sí mismos"". Ridley Scott responde a las críticas negativas a 'Napoléon' en Francia","¡extra, extra! ¡ridley scott ha vuelto a hacer un comentario pasado de rosca! está claro que al legendario director, a sus 85 años, ya no le queda ni un solo pelo en la lengua, y en esta ocasión le ha tocado dar un buen palo a la crítica francesa. ¿el motivo?…",https://www.espinof.com/directores-y-guionistas/franceses-siquiera-se-gustan-a-mismos-ridley-scott-responde-a-criticas-negativas-a-napoleon-francia-volviendo-a-hacer-gala-talante,2023-11-20T15:01:34Z,"¡Extra, extra! ¡Ridley Scott ha vuelto a hacer un comentario pasado de rosca! Está claro que al legendario director, a sus 85 años, ya no le queda ni un solo pelo en la lengua, y en esta ocasión le h… [+1937 chars]"
163,/FILM,staff@slashfilm.com (Drew Tinnin),How Donnie Darko And Martin Scorsese Influenced Five Nights At Freddy's,"believe it or not, the star and director of five nights at freddy&amp;#39;s took inspiration from donnie darko and martin scorsese&amp;#39;s casino.",https://www.slashfilm.com/1448819/donnie-darko-martin-scorsese-five-nights-at-freddys-success/,2023-11-26T12:45:30Z,"Normally, to reach the level of cult status, a film has to gain an underground popularity that breathes new life into a project that may have been otherwise overlooked. But when it comes to ""Five Nig… [+1276 chars]"
165,FREDZONE,Mariannick S.,Le film « Five Nights at Freddy’s » franchit un cap stupéfiant au box-office international !,"avec un passage remarqué au box-office mondial, « five nights at freddy’s », adaptation du célèbre jeu vidéo, s’impose comme le film d’horreur le plus rentable de l’année. réalisé par emma tammi et porté par josh hutcherson, ce long-métrage a non seulement dé…",https://www.fredzone.org/le-film-five-nights-at-freddys-franchit-un-cap-impressionnant-au-box-office-international-rtm347,2023-11-13T07:45:47Z,"Avec un passage remarqué au box-office mondial, « Five Nights at Freddys », adaptation du célèbre jeu vidéo, simpose comme le film dhorreur le plus rentable de lannée.
Five Nights at Freddys – Crédi… [+3463 chars]"
166,/FILM,staff@slashfilm.com (Jeremy Smith),Where Does Iman Vellani Think Marvel Can Improve? Start With The Fandom [Exclusive],the marvels star iman vellani has faith in the marvel cinematic universe. if only the fans would &amp;#39;let them cook.&amp;#39;,https://www.slashfilm.com/1447086/iman-vellani-marvel-fans-must-improve/,2023-11-15T19:00:00Z,"It's a shame that Nia DaCosta's ""The Marvels"" failed to draw in mainstream moviegoers because, despite the film's flaws, they're missing out on a star-making performance from Iman Vellani, who steals… [+1257 chars]"
